CovidDate,StateCode
2/2/2020,CT
2/2/2020,DE
2/2/2020,DC
2/2/2020,FL
2/2/2020,GA
2/2/2020,HI
2/2/2020,ID
2/2/2020,IL
2/2/2020,IN
2/2/2020,IA
2/2/2020,KS
2/2/2020,KY
2/2/2020,LA
2/2/2020,ME
2/2/2020,MD
2/2/2020,MA
2/2/2020,MI
2/2/2020,MN
2/2/2020,MS
2/2/2020,MO
2/2/2020,MT
2/2/2020,NE
2/2/2020,NV
2/2/2020,NH
2/2/2020,NJ
2/2/2020,NM
2/2/2020,NY
2/2/2020,NC
2/2/2020,ND
2/2/2020,OH
2/2/2020,OK
2/2/2020,OR
2/2/2020,PA
2/2/2020,RI
2/2/2020,SC
2/2/2020,SD
2/2/2020,TN
2/2/2020,TX
2/2/2020,UT
2/2/2020,VT
2/2/2020,VA
2/2/2020,WA
2/2/2020,WV
2/2/2020,WI
2/2/2020,WY
2/3/2020,AL
2/3/2020,AK
2/3/2020,AZ
2/3/2020,AR
2/3/2020,CA
2/3/2020,CO
2/3/2020,CT
2/3/2020,DE
2/3/2020,DC
2/3/2020,FL
2/3/2020,GA
2/3/2020,HI
2/3/2020,ID
2/3/2020,IL
2/3/2020,IN
2/3/2020,IA
2/3/2020,KS
2/3/2020,KY
2/3/2020,LA
2/3/2020,ME
2/3/2020,MD
2/3/2020,MA
2/3/2020,MI
2/3/2020,MN
2/3/2020,MS
2/3/2020,MO
2/3/2020,MT
2/3/2020,NE
2/3/2020,NV
2/3/2020,NH
2/3/2020,NJ
2/3/2020,NM
2/3/2020,NY
2/3/2020,NC
2/3/2020,ND
2/3/2020,OH
2/3/2020,OK
2/3/2020,OR
2/3/2020,PA
2/3/2020,RI
2/3/2020,SC
2/3/2020,SD
2/3/2020,TN
2/3/2020,TX
2/3/2020,UT
2/3/2020,VT
2/3/2020,VA
2/3/2020,WA
2/3/2020,WV
2/3/2020,WI
2/3/2020,WY
2/4/2020,AL
2/4/2020,AK
2/4/2020,AZ
2/4/2020,AR
2/4/2020,CA
2/4/2020,CO
